2025-12-01 14:55:49 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:49 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:49 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:49 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:50 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:50 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:50 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:50 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:50 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:50 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:51 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:51 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:51 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:51 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:51 | INFO | live | Monitoring... NSE=₹97055.00 BSE=₹97075.00 Spread=₹20.00
2025-12-01 14:55:51 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:51 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:51 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:51 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:52 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:52 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:52 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:52 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:52 | INFO | main | Signal SBIN spread=15.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:52 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:52 | INFO | main | Signal SBIN spread=15.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:52 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:53 | INFO | main | Signal SBIN spread=15.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:53 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:53 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:53 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:54 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:54 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:54 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:54 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:56 | INFO | live | Monitoring... NSE=₹97060.00 BSE=₹97075.00 Spread=₹15.00
2025-12-01 14:56:01 | INFO | live | Monitoring... NSE=₹97050.00 BSE=₹97045.00 Spread=₹5.00
2025-12-01 14:56:02 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:02 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:03 | INFO | main | Signal SBIN spread=35.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:03 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:04 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:04 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:05 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:05 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:05 | INFO | main | Signal SBIN spread=55.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:05 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:05 | INFO | main | Signal SBIN spread=50.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:05 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:06 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:06 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:06 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:06 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:06 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:06 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:06 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:06 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:06 | INFO | live | Monitoring... NSE=₹97045.00 BSE=₹97070.00 Spread=₹25.00
2025-12-01 14:56:07 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:07 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:07 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:07 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:07 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:07 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:07 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:07 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:08 | INFO | main | Signal SBIN spread=35.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:08 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:08 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:08 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:08 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:08 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:09 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:09 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:09 | INFO | main | Signal SBIN spread=10.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:09 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:09 | INFO | main | Signal SBIN spread=15.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:09 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:10 | INFO | main | Signal SBIN spread=15.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:10 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:10 | INFO | main | Signal SBIN spread=15.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:10 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:10 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:10 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:11 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:11 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:11 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:11 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:11 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:11 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:11 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:11 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:12 | INFO | live | Monitoring... NSE=₹97065.00 BSE=₹97045.00 Spread=₹20.00
2025-12-01 14:56:12 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:12 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:12 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:12 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:14 | INFO | main | Signal SBIN spread=35.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:14 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:15 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:15 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:15 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:15 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:15 | INFO | main | Signal SBIN spread=15.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:15 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:17 | INFO | live | Monitoring... NSE=₹97070.00 BSE=₹97095.00 Spread=₹25.00
2025-12-01 14:56:18 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:18 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:18 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:18 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:18 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:18 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:19 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:19 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:19 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:19 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:19 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:19 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:19 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:19 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:20 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:20 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:21 | INFO | main | Signal SBIN spread=35.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:21 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:21 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:21 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:22 | INFO | live | Monitoring... NSE=₹97045.00 BSE=₹97090.00 Spread=₹45.00
2025-12-01 14:56:22 | INFO | main | Signal SBIN spread=45.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:22 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:22 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:22 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:22 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:22 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:23 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:23 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:23 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:23 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:25 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:25 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:25 | INFO | main | Signal SBIN spread=20.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:25 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:25 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:25 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:25 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
