2025-12-09 10:30:01 | INFO | live | Monitoring... NSE=₹257.86 BSE=₹257.90 Spread=₹0.04
2025-12-09 10:30:06 | INFO | live | Monitoring... NSE=₹257.82 BSE=₹257.90 Spread=₹0.08
2025-12-09 10:30:11 | INFO | live | Monitoring... NSE=₹257.94 BSE=₹257.90 Spread=₹0.04
2025-12-09 10:30:16 | INFO | live | Monitoring... NSE=₹161.70 BSE=₹161.80 Spread=₹0.10
2025-12-09 10:30:21 | INFO | live | Monitoring... NSE=₹161.71 BSE=₹161.80 Spread=₹0.09
2025-12-09 10:30:26 | INFO | live | Monitoring... NSE=₹161.70 BSE=₹161.80 Spread=₹0.10
2025-12-09 10:30:31 | INFO | live | Monitoring... NSE=₹161.71 BSE=₹161.80 Spread=₹0.09
2025-12-09 10:30:36 | INFO | live | Monitoring... NSE=₹161.71 BSE=₹161.80 Spread=₹0.09
2025-12-09 10:30:41 | INFO | live | Monitoring... NSE=₹161.66 BSE=₹161.70 Spread=₹0.04
2025-12-09 10:30:46 | INFO | live | Monitoring... NSE=₹257.75 BSE=₹257.85 Spread=₹0.10
2025-12-09 10:30:51 | INFO | live | Monitoring... NSE=₹161.66 BSE=₹161.75 Spread=₹0.09
2025-12-09 10:30:56 | INFO | live | Monitoring... NSE=₹257.77 BSE=₹257.85 Spread=₹0.08
2025-12-09 10:31:01 | INFO | live | Monitoring... NSE=₹161.67 BSE=₹161.75 Spread=₹0.08
2025-12-09 10:31:06 | INFO | live | Monitoring... NSE=₹257.75 BSE=₹257.85 Spread=₹0.10
2025-12-09 10:31:11 | INFO | live | Monitoring... NSE=₹257.74 BSE=₹257.85 Spread=₹0.11
2025-12-09 10:31:16 | INFO | live | Monitoring... NSE=₹161.64 BSE=₹161.75 Spread=₹0.11
2025-12-09 10:31:21 | INFO | live | Monitoring... NSE=₹257.84 BSE=₹257.75 Spread=₹0.09
2025-12-09 10:31:26 | INFO | live | Monitoring... NSE=₹257.84 BSE=₹257.75 Spread=₹0.09
2025-12-09 10:31:31 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.75 Spread=₹0.27
2025-12-09 10:31:36 | INFO | live | Monitoring... NSE=₹257.91 BSE=₹257.75 Spread=₹0.16
2025-12-09 10:31:41 | INFO | live | Monitoring... NSE=₹257.95 BSE=₹257.75 Spread=₹0.20
2025-12-09 10:31:46 | INFO | live | Monitoring... NSE=₹257.86 BSE=₹257.90 Spread=₹0.04
2025-12-09 10:31:51 | INFO | live | Monitoring... NSE=₹161.41 BSE=₹161.45 Spread=₹0.04
2025-12-09 10:31:56 | INFO | live | Monitoring... NSE=₹161.36 BSE=₹161.45 Spread=₹0.09
2025-12-09 10:32:01 | INFO | live | Monitoring... NSE=₹257.90 BSE=₹257.95 Spread=₹0.05
2025-12-09 10:32:06 | INFO | live | Monitoring... NSE=₹161.46 BSE=₹161.40 Spread=₹0.06
2025-12-09 10:32:11 | INFO | live | Monitoring... NSE=₹257.86 BSE=₹257.95 Spread=₹0.09
2025-12-09 10:32:16 | INFO | live | Monitoring... NSE=₹257.82 BSE=₹257.65 Spread=₹0.17
2025-12-09 10:32:21 | INFO | live | Monitoring... NSE=₹257.75 BSE=₹257.65 Spread=₹0.10
2025-12-09 10:32:26 | INFO | live | Monitoring... NSE=₹257.70 BSE=₹257.65 Spread=₹0.05
2025-12-09 10:32:31 | INFO | live | Monitoring... NSE=₹257.70 BSE=₹257.60 Spread=₹0.10
2025-12-09 10:32:36 | INFO | live | Monitoring... NSE=₹161.35 BSE=₹161.30 Spread=₹0.05
2025-12-09 10:32:41 | INFO | live | Monitoring... NSE=₹161.36 BSE=₹161.30 Spread=₹0.06
2025-12-09 10:32:46 | INFO | live | Monitoring... NSE=₹257.56 BSE=₹257.60 Spread=₹0.04
2025-12-09 10:32:51 | INFO | live | Monitoring... NSE=₹257.68 BSE=₹257.60 Spread=₹0.08
2025-12-09 10:32:56 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.60 Spread=₹0.05
2025-12-09 10:33:01 | INFO | live | Monitoring... NSE=₹257.58 BSE=₹257.50 Spread=₹0.08
2025-12-09 10:33:06 | INFO | live | Monitoring... NSE=₹257.66 BSE=₹257.50 Spread=₹0.16
2025-12-09 10:33:11 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.50 Spread=₹0.15
2025-12-09 10:33:16 | INFO | live | Monitoring... NSE=₹257.65 BSE=₹257.50 Spread=₹0.15
